ALLEY_TRDAR_NO,SIGNGU_CD_NM,ADSTRD_CD_NM
13525,동작구,사당동
13315,동작구,사당동
13310,동작구,사당동
13105,동작구,대방동
13146,동작구,대방동
13139,동작구,대방동
13060,동작구,대방동
13284,동작구,신대방동
13251,동작구,신대방동
13272,동작구,신대방동
13250,동작구,신대방동
13132,동작구,신대방동
13123,동작구,신대방동
13124,동작구,신대방동
13268,관악구,보라매동
13276,관악구,보라매동
13257,관악구,보라매동
13346,관악구,보라매동
13344,관악구,성현동
13331,관악구,성현동
13600,관악구,행운동
13359,관악구,행운동
13366,관악구,행운동
13308,관악구,행운동
13455,관악구,행운동
13449,관악구,행운동
13434,관악구,낙성대동
13431,관악구,낙성대동
13452,관악구,낙성대동
13358,관악구,낙성대동
13373,관악구,청룡동
13371,관악구,청룡동
13362,관악구,청룡동
13372,관악구,은천동
13586,관악구,은천동
13401,관악구,은천동
13592,관악구,은천동
13409,관악구,은천동
13405,관악구,은천동
13398,관악구,중앙동
13630,관악구,중앙동
13388,관악구,중앙동
13338,관악구,중앙동
13314,관악구,중앙동
13599,관악구,인헌동
13422,관악구,인헌동
13430,관악구,인헌동
13446,관악구,인헌동
13429,관악구,인헌동
13437,관악구,남현동
13438,관악구,남현동
13634,관악구,신원동
13356,관악구,신원동
13389,관악구,신원동
13439,관악구,서림동
13475,관악구,서림동
13311,관악구,신사동
13403,관악구,신사동
13347,관악구,신사동
13512,관악구,신사동
13309,관악구,신사동
13384,관악구,신사동
13337,관악구,신림동
13340,관악구,신림동
13327,관악구,조원동
13390,관악구,조원동
13304,관악구,조원동
13377,관악구,조원동
13375,관악구,조원동
13320,관악구,조원동
13397,관악구,조원동
13369,관악구,조원동
13413,관악구,조원동
13302,관악구,조원동
13380,관악구,조원동
13479,관악구,대학동
13469,관악구,대학동
13483,관악구,대학동
13465,관악구,대학동
13472,관악구,삼성동
13416,관악구,미성동
13415,관악구,미성동
13394,관악구,미성동
13400,관악구,미성동
13421,관악구,미성동
13423,관악구,난곡동
13426,관악구,난곡동
13427,관악구,난곡동
13622,서초구,서초동
13303,서초구,서초동
13324,서초구,서초동
13249,서초구,서초동
13298,서초구,서초동
13515,서초구,서초동
13335,서초구,서초동
13411,서초구,서초동
13395,서초구,서초동
13322,서초구,서초동
13217,서초구,서초동
13043,서초구,잠원동
12896,서초구,잠원동
13173,서초구,반포본동
13179,서초구,반포본동
13172,서초구,반포본동
13170,서초구,반포본동
13044,서초구,반포동
13546,서초구,반포동
13115,서초구,반포동
13113,서초구,반포동
13102,서초구,반포동
13092,서초구,반포동
13155,서초구,반포동
13057,서초구,반포동
13118,서초구,반포동
13125,서초구,반포동
13163,서초구,반포동
13229,서초구,반포동
13143,서초구,반포동
13228,서초구,방배본동
13235,서초구,방배본동
13201,서초구,방배본동
13206,서초구,방배본동
13237,서초구,방배본동
13288,서초구,방배본동
13336,서초구,방배동
13305,서초구,방배동
13379,서초구,방배동
13325,서초구,방배동
13367,서초구,방배동
13611,서초구,방배동
13440,서초구,방배동
13287,서초구,방배동
13253,서초구,방배동
13354,서초구,방배동
13273,서초구,방배동
13260,서초구,방배동
13316,서초구,방배동
13385,서초구,양재동
13410,서초구,양재동
13383,서초구,양재동
13457,서초구,양재동
13608,서초구,양재동
13453,서초구,양재동
13435,서초구,양재동
13355,서초구,양재동
13361,서초구,양재동
13471,서초구,양재동
13470,서초구,양재동
13466,서초구,양재동
13420,서초구,양재동
13540,서초구,양재동
13461,서초구,양재동
13477,서초구,양재동
13478,서초구,양재동
13462,서초구,양재동
12906,강남구,신사동
13587,강남구,논현동
13039,강남구,논현동
13015,강남구,논현동
13027,강남구,논현동
13026,강남구,논현동
